0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:46:18 +0530] "POST /FlyAway/Payment HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:46:32 +0530] "POST /FlyAway/Payment HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:46:32 +0530] "GET /FlyAway/Thankyou.jsp HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:46:36 +0530] "GET /FlyAway/payment.jsp HTTP/1.1" 200 3251
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:46:37 +0530] "GET /FlyAway/Home.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:46:41 +0530] "GET /FlyAway/option-flightsearch.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:46:42 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:46:44 +0530] "GET /FlyAway/Home.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:47:31 +0530] "GET /FlyAway/Home.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:47:32 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:47:41 +0530] "POST /FlyAway/login HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:47:51 +0530] "POST /FlyAway/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:47:51 +0530] "GET /FlyAway/adminDashboard.jsp HTTP/1.1" 200 20098
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:48:07 +0530] "GET /FlyAway/Home.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:48:08 +0530] "GET /FlyAway/option-flightsearch.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:48:15 +0530] "GET /FlyAway/SearchServlet?source=India&destination=Dubai&persons=1&date=2021-09-25 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:48:16 +0530] "GET /FlyAway/Searchresult.jsp HTTP/1.1" 200 3217
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:48:17 +0530] "POST /FlyAway/Register.jsp HTTP/1.1" 200 2912
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:48:17 +0530] "GET /FlyAway/Images/collins-lesulie-zPf7JIJucJU-unsplash.jpg HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:48:24 +0530] "POST /FlyAway/ServletRegister HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:48:24 +0530] "GET /FlyAway/payment.jsp HTTP/1.1" 200 3251
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:48:33 +0530] "POST /FlyAway/Payment HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:48:34 +0530] "GET /FlyAway/Thankyou.jsp HTTP/1.1" 200 2036
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:48:51 +0530] "GET /FlyAway/Thankyou.jsp HTTP/1.1" 200 1989
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:54:32 +0530] "GET /FlyAway/option-flightsearch.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:54:34 +0530] "GET /FlyAway/option-flightsearch.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:54:36 +0530] "GET /FlyAway/Home.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:54:38 +0530] "GET /FlyAway/option-flightsearch.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:54:40 +0530] "GET /FlyAway/option-flightsearch.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:55:42 +0530] "GET /FlyAway/ HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:55:50 +0530] "GET /FlyAway/Home.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:56:09 +0530] "GET /FlyAway/Home.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:56:10 +0530] "GET /FlyAway/option-flightsearch.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:57:02 +0530] "GET /FlyAway/ HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:57:22 +0530] "GET /FlyAway/Home.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:57:52 +0530] "GET /FlyAway/Home.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:58:20 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:58:22 +0530] "GET /FlyAway/Login.jsp HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:58:22 +0530] "GET /FlyAway/Home.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [23/Sep/2021:23:58:23 +0530] "GET /FlyAway/option-flightsearch.jsp HTTP/1.1" 200 3122
